Work Order Number,Customer Number,Memo (Main),Name,Address,City,State,Zip,FixedTime,Weight,Total Weight NH,OrderDate,Quantity,Total Quantity,EqCode,Open1,Close1,Pattern1,Longitude,Latitude,OrderType,Filler,Shipment Date,Standing Appointment,Seq,County,Rt,Food Pallets, Pet Food Pallets,Chemical Pallets,Delivery Instructions,Total Case Cube,Static Appointment
974772,4018,- None -,"Renaissance School of the Arts, MS377",Address 319 E 117th Street,New York,NY,10035,30,3064,3064,1/20/2026,,2532, ,0830,1230,T,40.797302,-73.936365,Cold,No,1/20/2026,No,1,Manhattan,45,20.78,0,0,- None -,1329.86,No
975617,81272,- None -,Blessed Sacrament Church,198 Euclid Avenue,Brooklyn,NY,11208,30,3512,3512,1/20/2026,,160, ,0830,1230,T,40.683835,-73.874299,Dry,No,1/20/2026,No,2,Brooklyn,14,1.77,0,0,Opens at 9AM-2:30pm.  Celeste 718-909-6646,112.1,No
975909,84960,- None -,Hour Children Community Outreach,36-49 11th Street,Long Island City,NY,11106,30,2694,2694,1/20/2026,,129, ,0830,1230,T,40.760437,-73.940382,Dry,No,1/20/2026,No,3,Queens,3,1.64,0,0,- None -,105.93,No
975912,84960,- None -,Hour Children Community Outreach,36-49 11th Street,Long Island City,NY,11106,30,1131,1131,1/20/2026,,31, ,0830,1230,T,40.760437,-73.940382,Cold,No,1/20/2026,No,3,Queens,32,0.67,0,0,- None -,43.71,No
975939,85443,- None -,ACS - The Administration for Children's Services,"2501 Grand Concourse, 5th Floor",Bronx,NY,10468,30,597,597,1/20/2026,,36, ,0830,1230,T,40.862713,-73.89695,Dry,No,1/20/2026,No,2,Bronx,21,0.3,0,0,First and or second delivery to have access to freight elevator,18.2,No
975940,85443,- None -,ACS - The Administration for Children's Services,"2501 Grand Concourse, 5th Floor",Bronx,NY,10468,30,227,227,1/20/2026,,12, ,0830,1230,T,40.862713,-73.89695,Cold,No,1/20/2026,No,2,Bronx,21,0.17,0,0,First and or second delivery to have access to freight elevator,10.65,No
975961,85457,- None -,ICNA Relief USA - Flushing Food Pantry,4312 Union Street,Queens,NY,11355,30,3120,3120,1/20/2026,,176, ,1230,1630,T,40.754386,-73.821573,Dry,No,1/20/2026,No,4,Queens,4,1.46,0,0,- None -,94.16,No
976008,80699,- None -,Project Create-Anthony House,73 Lenox Avenue,New York,NY,10026,30,585,585,1/20/2026,,18, ,1230,1630,T,40.800543,-73.950777,Cold,Yes,1/20/2026,Yes,1,Manhattan,2,0.4,0,0,Tuesday delivery ONLY 8am-2pm address is 73 Lenox Ave.,26.19,Yes
976011,80699,- None -,Project Create-Anthony House,73 Lenox Avenue,New York,NY,10026,30,2680,2680,1/20/2026,,150, ,1230,1630,T,40.800543,-73.950777,Dry,Yes,1/20/2026,Yes,1,Manhattan,2,1.76,0,0,Tuesday delivery ONLY 8am-2pm address is 73 Lenox Ave.,112.71,Yes
976064,85343,- None -,Department of Probation NeON Kitchen Staten Island,340 Bay Street,Staten Island,NY,10301,30,660,660,1/20/2026,,30, ,1230,1630,T,40.63368,-74.075159,Cold,Yes,1/20/2026,Yes,3,StatenIsland,23,0.43,0,0,830-430pm,27.24,Yes
