Work Order Number,Customer Number,Memo (Main),Name,Address,City,State,Zip,FixedTime,Weight,Total Weight NH,OrderDate,Quantity,Total Quantity,EqCode,Open1,Close1,Pattern1,Longitude,Latitude,OrderType,Filler,Shipment Date,Standing Appointment,Seq,County,Rt,Food Pallets, Pet Food Pallets,Chemical Pallets,Delivery Instructions,Total Case Cube,Static Appointment
965406,4026,SR - MOBILE PANTRY S.O.,Mobile Pantry @ Travers Park,76-9 34th Avenue,Flushing,NY,11372,30,4538,4538,11/12/2025,,3368, ,0830,1230,W,40.747923,-73.862106,Dry,No,11/12/2025,No,1, ,47,24.83,0,0.11,- None -,1596.69,No
966666,85651,- None -,I.S. 96 K Seth Low,99 Avenue P,"Brooklyn, NY",NY,11204,30,240,240,11/12/2025,,5, ,0830,1230,W,40.60754,-73.984661, ,No,11/12/2025,No,3,Brooklyn,1,0.14,0,0,- None -,9.25,No
966890,85290,- None -,Fort Greene Council Hazel Brooks Neighborhood Ctr.,"961 Ocean Avenue, Lower Level",Brooklyn,NY,11226,30,504,504,11/12/2025,,13, ,0830,1230,W,40.638891,-73.958877, ,No,11/12/2025,No,4,Brooklyn,1,0.32,0,0,"Per Leishanna, able to receive 830am-3:00pm.  Please use driveway entrance located on Ocean Ave.",20.53,No
966892,85263,- None -,Fort Greene Hugh Gilroy Senior Center,447 Kingsborough 4th Walk,Brooklyn,NY,11233,30,504,504,11/12/2025,,13, ,0830,1230,W,40.675242,-73.924931, ,No,11/12/2025,No,5,Brooklyn,22,0.32,0,0,"Per Leishanna, able to receive 830am-3:00pm.Program is located on the 2nd Fl",20.53,No
967074,85182,- None -,Bedford Central Presbyterian Church,1200 Dean Street,Brooklyn,NY,11216,30,306,306,11/12/2025,,6, ,0830,1230,W,40.676836,-73.949271, ,No,11/12/2025,No,4,Brooklyn,24,0.19,0,0,8:30-2:30pm -Pls. call cell# upon delivery on the way if possible,12.21,No
967342,85646,- None -,Thomas S. Murphy Clubhouse,2245 Bedford Ave,Brooklyn,NY,11226,30,240,240,11/12/2025,,5, ,1230,1630,W,40.649122,-73.955765, ,No,11/12/2025,No, ,Brooklyn,1,0.14,0,0,- None -,9.25,No
967727,82807,- None -,Salem United Methodist Church,211 West 129th Street,New York,NY,10027,30,510,510,11/12/2025,,10, ,0830,1230,W,40.811566,-73.946589, ,No,11/12/2025,No,4,Manhattan,9,0.31,0,0,8:30am - 12:30pm,20.35,No
968057,83333,- None -,Pentecost Care Community Outreach,621 East 216th Street,Bronx,NY,10467,30,1612,1612,11/12/2025,,74, ,0830,1230,W,40.882228,-73.866922,Dry,Yes,11/12/2025,Yes,2,Bronx,10,0.65,0,0,Please 8:30-9:30; 12:30-1:30. Call when close to location.,41.31,Yes
968069,85448,- None -,Vets Inc,143-17 Springfield Blvd,Springfield Gardens,NY,11413,30,1460,1460,11/12/2025,,73, ,0830,1230,W,40.668109,-73.756857,Dry,Yes,11/12/2025,Yes,2,Queens,2,0.61,0,0,- None -,38.61,Yes
968078,85430,- None -,P.S. 096 Joseph Lanzetta,216 E 120th Street,New York,NY,10035,30,136,136,11/12/2025,,5, ,0830,1230,W,40.800256,-73.937558,Cold,No,11/12/2025,No,5,Manhattan,23,0.1,0,0,"Please, This school ONLY accepts deliveries 9am-1pm.",6.08,No
968311,85537,- None -,Apna Food Pantry Brighton Beach,225 Neptune Avenue,Brooklyn,NY,11235,30,656,656,11/12/2025,,31, ,0830,1230,W,40.581594,-73.961703,Cold,No,11/12/2025,No,2,Brooklyn,1,0.44,0,0,- None -,28.6,No
968319,85162,- None -,Every Day is a Miracle co The Almond Tree Church,2424 Jerome Ave,Bronx,NY,10468,30,1032,1032,11/12/2025,,44, ,0830,1230,W,40.86185,-73.90176,Dry,Yes,11/12/2025,Yes,3,Bronx,13,0.63,0,0,ONLY 830am-1:00pm,40.6,Yes
968320,85162,- None -,Every Day is a Miracle co The Almond Tree Church,2424 Jerome Ave,Bronx,NY,10468,30,128,128,11/12/2025,,16, ,0830,1230,W,40.86185,-73.90176,Cold,Yes,11/12/2025,Yes,3,Bronx,13,0.08,0,0,ONLY 830am-1:00pm,4.96,Yes
968344,84268,- None -,New Covenant Community Development Corp.,1175 Boston Road,Bronx,NY,10456,30,316,316,11/12/2025,,22, ,0830,1230,W,40.828841,-73.90312,Dry,Yes,11/12/2025,Yes,3,Bronx,18,0.13,0,0,- None -,8.54,Yes
968438,85537,- None -,Apna Food Pantry Brighton Beach,225 Neptune Avenue,Brooklyn,NY,11235,30,1420,1420,11/12/2025,,72, ,0830,1230,W,40.581594,-73.961703,Dry,No,11/12/2025,No,2,Brooklyn,1,0.85,0,0,- None -,54.76,No
968448,85700,- None -,Bronx River Community Center,1619 East 174th Street,Bronx,NY,10472,30,1142,1142,11/12/2025,,56, ,0830,1230,W,40.83395,-73.876147,Dry,No,11/12/2025,No,2,Bronx,12,0.55,0,0.02,- None -,37.08,No
968463,85320,- None -,Christ Temple of the Apostolic Faith,13 West 128th Street,New York,NY,10027,30,608,608,11/12/2025,,30, ,1230,1630,W,40.808655,-73.941592,Dry,Yes,11/12/2025,Yes,7,Manhattan,23,0.26,0,0,930am-430pm - Agency is a Breakdown has to be bring it inside carry it through 3 steps. Arrive between scheduled hours. Take items to storage area,16.44,Yes
968464,85320,- None -,Christ Temple of the Apostolic Faith,13 West 128th Street,New York,NY,10027,30,128,128,11/12/2025,,16, ,1230,1630,W,40.808655,-73.941592,Cold,Yes,11/12/2025,Yes,7,Manhattan,23,0.08,0,0,930am-430pm - Agency is a Breakdown has to be bring it inside carry it through 3 steps. Arrive between scheduled hours. Take items to storage area,4.96,Yes
968491,80212,- None -,SCO Family of Services/Bethany House,164 Suydam Street,Brooklyn,NY,11221,30,801,801,11/12/2025,,43, ,1230,1630,W,40.699435,-73.926353,Dry,Yes,11/12/2025,Yes,1,Brooklyn,74,0.48,0,0,Wednesday bet 9:30am 4:00PM,31.34,Yes
968492,81168,- None -,Jewish Comm Council of Canarsie,1170 Pennsylvania Avenue,Brooklyn,NY,11239,30,496,496,11/12/2025,,24, ,0830,1230,W,40.651533,-73.88538,Dry,Yes,11/12/2025,Yes,3,Brooklyn,16,0.29,0,0,No Del on Friday,18.8,Yes
968493,81168,- None -,Jewish Comm Council of Canarsie,1170 Pennsylvania Avenue,Brooklyn,NY,11239,30,128,128,11/12/2025,,16, ,0830,1230,W,40.651533,-73.88538,Cold,Yes,11/12/2025,Yes,3,Brooklyn,16,0.09,0,0,No Del on Friday,5.76,Yes
968494,81595,- None -,Project Lead,85-12 126th Street,Kew Gardens,NY,11415,30,496,496,11/12/2025,,24, ,0830,1230,W,40.70236,-73.82771,Dry,Yes,11/12/2025,Yes,1,Queens,15,0.29,0,0,"ILYA Requested Delivery 8:30 - 10:30, if possible.  Volunteers at another site. Morning between Lefferts Blvd and Brevvoort Street, Brown garage door on 126th Street, next door to gas station",18.8,Yes
968495,81595,- None -,Project Lead,85-12 126th Street,Kew Gardens,NY,11415,30,128,128,11/12/2025,,16, ,0830,1230,W,40.70236,-73.82771,Cold,Yes,11/12/2025,Yes,1,Queens,15,0.09,0,0,"ILYA Requested Delivery 8:30 - 10:30, if possible.  Volunteers at another site. Morning between Lefferts Blvd and Brevvoort Street, Brown garage door on 126th Street, next door to gas station",5.76,Yes
968498,85167,- None -,ICNA Relief USA,87-91 144th Street,Jamaica,NY,11435,30,1114,1114,11/12/2025,,64, ,1230,1630,W,40.704531,-73.811813,Dry,No,11/12/2025,No,1,Queens,70,0.61,0,0,9am-4:30pm - Please ring door bell on the outside of the white metal door,38.83,No
968499,85167,- None -,ICNA Relief USA,87-91 144th Street,Jamaica,NY,11435,30,120,120,11/12/2025,,15, ,1230,1630,W,40.704531,-73.811813,Cold,No,11/12/2025,No,1,Queens,70,0.08,0,0,9am-4:30pm - Please ring door bell on the outside of the white metal door,5.4,No
968511,82315,- None -,Spanish Soundview SDA,1822 Lacombe Avenue,Bronx,NY,10473,30,1380,1380,11/12/2025,,78, ,0830,1230,W,40.815052,-73.861258,Dry,Yes,11/12/2025,Yes,1,Bronx,5,0.74,0,0,Deliver ONLY 8:30 - 1:30.  Volunteers leave at 2pmWednesday. Please call Josefina Enrique - 646-256-5284  to confirm delivery,47.72,Yes
968512,83333,- None -,Pentecost Care Community Outreach,621 East 216th Street,Bronx,NY,10467,30,256,256,11/12/2025,,32, ,0830,1230,W,40.882228,-73.866922,Cold,Yes,11/12/2025,Yes,2,Bronx,10,0.17,0,0,Please 8:30-9:30; 12:30-1:30. Call when close to location.,10.72,Yes
968515,82315,- None -,Spanish Soundview SDA,1822 Lacombe Avenue,Bronx,NY,10473,30,882,882,11/12/2025,,47, ,0830,1230,W,40.815052,-73.861258,Cold,Yes,11/12/2025,Yes,1,Bronx,5,0.57,0,0,Deliver ONLY 8:30 - 1:30.  Volunteers leave at 2pmWednesday. Please call Josefina Enrique - 646-256-5284  to confirm delivery,35.98,Yes
968543,80604,- None -,Holy Apostles Soup Kitchen,296 9th Avenue,New York,NY,10001,30,944,944,11/12/2025,,36, ,0830,1230,W,40.749416,-73.999188,Dry,Yes,11/12/2025,Yes,3,Manhattan,8,0.45,0,0,Only 8am-10am,28.92,Yes
968546,80604,- None -,Holy Apostles Soup Kitchen,296 9th Avenue,New York,NY,10001,30,384,384,11/12/2025,,48, ,0830,1230,W,40.749416,-73.999188,Cold,Yes,11/12/2025,Yes,3,Manhattan,8,0.25,0,0,Only 8am-10am,15.84,Yes
968554,80065,- None -,Gethsemane Baptist Church,771 Fairmount Place,Bronx,NY,10460,30,1667,1667,11/12/2025,,75, ,0830,1230,W,40.842956,-73.889532,Dry,Yes,11/12/2025,Yes,3,Bronx,12,0.75,0,0,Wed. Delivery ONLY between 8am-12noon,48.35,Yes
968558,80065,- None -,Gethsemane Baptist Church,771 Fairmount Place,Bronx,NY,10460,30,1040,1040,11/12/2025,,40, ,0830,1230,W,40.842956,-73.889532,Cold,Yes,11/12/2025,Yes,3,Bronx,12,0.34,0,0,Wed. Delivery ONLY between 8am-12noon,21.68,Yes
968560,85342,- None -,Department of Probation NeON Kitchen Manhattan,127 West 127th Street,New York,NY,10027,30,892,892,11/12/2025,,42, ,1230,1630,W,40.809488,-73.945496,Cold,Yes,11/12/2025,Yes,3,Manhattan,9,0.68,0,0,8:00am - 2:00pm. Delivery rear entrance W 128th Street,43.5,Yes
968567,85389,- None -,HS 440 X DeWitt Clinton High School,100 West Mosholu Parkway South,Bronx,NY,10468,30,346,346,11/12/2025,,11, ,0830,1230,W,40.882178,-73.88691,Cold,No,11/12/2025,No,3,Bronx,10,0.26,0,0,Preferred Delivery Time – 8am – 12pm,15.84,No
968569,85389,- None -,HS 440 X DeWitt Clinton High School,100 West Mosholu Parkway South,Bronx,NY,10468,30,358,358,11/12/2025,,23, ,0830,1230,W,40.882178,-73.88691,Dry,No,11/12/2025,No,3,Bronx,10,0.16,0,0,Preferred Delivery Time – 8am – 12pm,9.1,No
968587,85342,- None -,Department of Probation NeON Kitchen Manhattan,127 West 127th Street,New York,NY,10027,30,1172,1172,11/12/2025,,68, ,1230,1630,W,40.809488,-73.945496,Dry,Yes,11/12/2025,Yes,3,Manhattan,9,0.69,0,0,8:00am - 2:00pm. Delivery rear entrance W 128th Street,44.86,Yes
968596,D123456,- None -,FBNYC TEST AGENCY,15 Lincoln Road,Monroe,NY,10950,30,0,0,11/12/2025,,0, ,0830,1230,W,,-73.9049,Dry,No,11/12/2025,No, ,Bronx,1,0,0,0,- None -,0,No
968597,85396,PUSH - TIA,HS 493 K Brooklyn Collegiate: A College Board Scho,2021 Bergen Street,Brooklyn,NY,11233,30,622,622,11/12/2025,,31, ,0830,1230,W,40.674103,-73.913273,Dry,No,11/12/2025,No,2,Brooklyn,30,0.27,0,0,Can accept deliveries between 11am and 3pm.,17.47,No
968598,85396,PUSH - TIA,HS 493 K Brooklyn Collegiate: A College Board Scho,2021 Bergen Street,Brooklyn,NY,11233,30,994,994,11/12/2025,,43, ,0830,1230,W,40.674103,-73.913273,Cold,No,11/12/2025,No,2,Brooklyn,30,0.7,0,0,Can accept deliveries between 11am and 3pm.,45.57,No
